Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:55:04.096000,VER,33,0 days 00:01:34.092000,47.0,3.0,,,0 days 00:00:30.285000,0 days 00:00:40.482000,0 days 00:00:23.325000,0 days 01:54:00.289000,0 days 01:54:40.771000,0 days 01:55:04.096000,231.0,264.0,283.0,290.0,False,HARD,8.0,True,Red Bull Racing,0 days 01:53:30.004000,2021-03-28 16:23:30.014,1,2.0,False,,False,True
0 days 01:56:37.914000,VER,33,0 days 00:01:33.818000,48.0,3.0,,,0 days 00:00:30.228000,0 days 00:00:40.505000,0 days 00:00:23.085000,0 days 01:55:34.324000,0 days 01:56:14.829000,0 days 01:56:37.914000,,262.0,278.0,295.0,False,HARD,9.0,True,Red Bull Racing,0 days 01:55:04.096000,2021-03-28 16:25:04.106,1,2.0,False,,False,True
0 days 01:58:11.490000,VER,33,0 days 00:01:33.576000,49.0,3.0,,,0 days 00:00:30.168000,0 days 00:00:40.310000,0 days 00:00:23.098000,0 days 01:57:08.082000,0 days 01:57:48.392000,0 days 01:58:11.490000,233.0,265.0,278.0,291.0,False,HARD,10.0,True,Red Bull Racing,0 days 01:56:37.914000,2021-03-28 16:26:37.924,1,2.0,False,,False,True
0 days 01:59:45.383000,VER,33,0 days 00:01:33.893000,50.0,3.0,,,0 days 00:00:30.257000,0 days 00:00:40.232000,0 days 00:00:23.404000,0 days 01:58:41.747000,0 days 01:59:21.979000,0 days 01:59:45.383000,236.0,264.0,280.0,290.0,False,HARD,11.0,True,Red Bull Racing,0 days 01:58:11.490000,2021-03-28 16:28:11.500,1,2.0,False,,False,True
0 days 02:01:19.347000,VER,33,0 days 00:01:33.964000,51.0,3.0,,,0 days 00:00:30.382000,0 days 00:00:40.341000,0 days 00:00:23.241000,0 days 02:00:15.765000,0 days 02:00:56.106000,0 days 02:01:19.347000,,265.0,290.0,292.0,False,HARD,12.0,True,Red Bull Racing,0 days 01:59:45.383000,2021-03-28 16:29:45.393,1,2.0,False,,False,True
0 days 02:02:54.016000,VER,33,0 days 00:01:34.669000,52.0,3.0,,,0 days 00:00:30.437000,0 days 00:00:40.856000,0 days 00:00:23.376000,0 days 02:01:49.784000,0 days 02:02:30.640000,0 days 02:02:54.016000,233.0,265.0,291.0,311.0,False,HARD,13.0,True,Red Bull Racing,0 days 02:01:19.347000,2021-03-28 16:31:19.357,1,2.0,False,,False,True
0 days 02:04:30.429000,VER,33,0 days 00:01:36.413000,53.0,3.0,,,0 days 00:00:30.106000,0 days 00:00:42.248000,0 days 00:00:24.059000,0 days 02:03:24.122000,0 days 02:04:06.370000,0 days 02:04:30.429000,234.0,264.0,289.0,327.0,False,HARD,14.0,True,Red Bull Racing,0 days 02:02:54.016000,2021-03-28 16:32:54.026,1,2.0,False,,False,True
0 days 02:06:05.502000,VER,33,0 days 00:01:35.073000,54.0,3.0,,,0 days 00:00:30.659000,0 days 00:00:40.692000,0 days 00:00:23.722000,0 days 02:05:01.088000,0 days 02:05:41.780000,0 days 02:06:05.502000,232.0,263.0,280.0,310.0,False,HARD,15.0,True,Red Bull Racing,0 days 02:04:30.429000,2021-03-28 16:34:30.439,1,2.0,False,,False,True
0 days 02:07:40.067000,VER,33,0 days 00:01:34.565000,55.0,3.0,,,0 days 00:00:30.648000,0 days 00:00:40.573000,0 days 00:00:23.344000,0 days 02:06:36.150000,0 days 02:07:16.723000,0 days 02:07:40.067000,,262.0,288.0,291.0,False,HARD,16.0,True,Red Bull Racing,0 days 02:06:05.502000,2021-03-28 16:36:05.512,1,2.0,False,,False,True
0 days 02:09:14.794000,VER,33,0 days 00:01:34.727000,56.0,3.0,,,0 days 00:00:30.275000,0 days 00:00:40.838000,0 days 00:00:23.614000,0 days 02:08:10.342000,0 days 02:08:51.180000,0 days 02:09:14.794000,231.0,266.0,277.0,317.0,False,HARD,17.0,True,Red Bull Racing,0 days 02:07:40.067000,2021-03-28 16:37:40.077,1,2.0,False,,False,True
